Product Id,Variant Id,Handle,Title,Body (Html),Vendor,Type,Tags,Published,Option Fulfill Value,Custom Option,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Sku,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / Mpn,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,Seo Title,Seo Description,Google Shopping / Adwords Grouping,Google Shopping / Adwords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost Per Item,Available On Listing Pages,Available On Sitemap Files,Template,
1000000125878743',1000007963061714',trotter-clan-badge-tartan-blanket,Trotter Clan Badge Tartan Quilt,"<h1>Trotter Clan Badge Tartan Quilt</h1>
<p>All of our Quilts are custom-made-to-order and handcrafted to the highest quality standards.</p>
<ul>
        <li>Each quilt features a premium polyester print for beautiful color vibrancy, even after washing.</li>
        <li>Constructed from an ultra-soft polyester fabric with a hypo-allergenic cotton filling.</li>
        <li>The diamond stitched pattern gives a luxurious feel that is cozy and breathable, perfect for all year round use.</li>
        <li>These quilts are great for a picnic at the park, snuggling while watching TV, relaxing on the sofa, or as a stylish bedspread.</li>
        <li>Machine washable with cold water gentle cycle and mild detergent.</li>
</ul>",Scottish Lovers,PREMIUM QUILTS,"quilt,quilts,home set,tartan,sc-10110740-premium-quilts-771,scotland,scottish,Trotter,Clan Badge Tartan",TRUE,,,Style,Premium Quilt,Size,Lap Blanket (45 x 50 inches / 114 x 127 cm),Color,Black,TSN00296-TZB000296Q,1800,,,deny,manual,59.99,0,TRUE,TRUE,,https://img.btdmp.com/10110/10110740/products/1646190022a5edf6f787.jpeg,1,Trotter Clan Badge Tartan Quilt | Scottishlovers.com,,,,,,Trotter Clan Badge Tartan Quilt | Scottishlovers.com,"Buy Trotter Clan Badge Tartan Quilt and explore more of Apparel, Home Set in special custom design at Scottish Lovers for both Men & Women. Shipping worldwide",,,,,,,,,,https://img.btdmp.com/10110/10110740/products/1646190022a5edf6f787.jpeg,kg,,0,TRUE,TRUE,,
1000000125878743',1000007963061715',trotter-clan-badge-tartan-blanket,,,,,,,,,,Premium Quilt,,Throw Blanket (55 x 60 inches / 140 x 152 cm),,Black,TSN00296-TZB000296K,1800,,,deny,manual,63.99,0,TRUE,TRUE,,https://img.btdmp.com/10110/10110740/products/1646190022ab6a3ea140.jpeg,2,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10110/10110740/products/1646190022a5edf6f787.jpeg,kg,,0,,,,
,,trotter-clan-badge-tartan-blanket,,,,,,,,,,Premium Quilt,,Crib (45 x 50 inches / 114 x 127 cm),,Black,TSN00296-TZB000296K,1800,,,deny,manual,59.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10110/10110740/products/1646190022a5edf6f787.jpeg,kg,,0,,,,
,,trotter-clan-badge-tartan-blanket,,,,,,,,,,Premium Quilt,,Twin (75 x 85 inches / 190 x 216 cm),,Black,TSN00296-TZB000296K,1800,,,deny,manual,69.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10110/10110740/products/1646190022a5edf6f787.jpeg,kg,,0,,,,
,,trotter-clan-badge-tartan-blanket,,,,,,,,,,Premium Quilt,,Queen (80 x 90 inches / 203 x 228 cm),,Black,TSN00296-TZB000296K,1800,,,deny,manual,74.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10110/10110740/products/1646190022a5edf6f787.jpeg,kg,,0,,,,
,,trotter-clan-badge-tartan-blanket,,,,,,,,,,Premium Quilt,,King (91 x 102 inches / 231 x 259 cm),,Black,TSN00296-TZB000296K,1800,,,deny,manual,84.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10110/10110740/products/1646190022a5edf6f787.jpeg,kg,,0,,,,
1000000125878771',1000007963061374',chattan-clan-badge-tartan-blanket,Chattan Clan Badge Tartan Quilt,"<h1>Chattan Clan Badge Tartan Quilt</h1>
<p>All of our Quilts are custom-made-to-order and handcrafted to the highest quality standards.</p>
<ul>
        <li>Each quilt features a premium polyester print for beautiful color vibrancy, even after washing.</li>
        <li>Constructed from an ultra-soft polyester fabric with a hypo-allergenic cotton filling.</li>
        <li>The diamond stitched pattern gives a luxurious feel that is cozy and breathable, perfect for all year round use.</li>
        <li>These quilts are great for a picnic at the park, snuggling while watching TV, relaxing on the sofa, or as a stylish bedspread.</li>
        <li>Machine washable with cold water gentle cycle and mild detergent.</li>
</ul>",Scottish Lovers,PREMIUM QUILTS,"quilt,quilts,home set,tartan,sc-10110740-premium-quilts-771,scotland,scottish,Chattan,Clan Badge Tartan",TRUE,,,Style,Premium Quilt,Size,Lap Blanket (45 x 50 inches / 114 x 127 cm),Color,Black,TSN318-TZB000318Q,1800,,,deny,manual,59.99,0,TRUE,TRUE,,https://img.btdmp.com/10110/10110740/products/16461900123a37b8a1b5.jpeg,1,Chattan Clan Badge Tartan Quilt | Scottishlovers.com,,,,,,Chattan Clan Badge Tartan Quilt | Scottishlovers.com,"Buy Chattan Clan Badge Tartan Quilt and explore more of Apparel, Home Set in special custom design at Scottish Lovers for both Men & Women. Shipping worldwide",,,,,,,,,,https://img.btdmp.com/10110/10110740/products/16461900123a37b8a1b5.jpeg,kg,,0,TRUE,TRUE,,
1000000125878771',1000007963061375',chattan-clan-badge-tartan-blanket,,,,,,,,,,Premium Quilt,,Throw Blanket (55 x 60 inches / 140 x 152 cm),,Black,TSN318-TZB000318k,1800,,,deny,manual,63.99,0,TRUE,TRUE,,https://img.btdmp.com/10110/10110740/products/1646190012ed9c39ceee.jpeg,2,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10110/10110740/products/16461900123a37b8a1b5.jpeg,kg,,0,,,,
,,chattan-clan-badge-tartan-blanket,,,,,,,,,,Premium Quilt,,Crib (45 x 50 inches / 114 x 127 cm),,Black,TSN318-TZB000318k,1800,,,deny,manual,59.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10110/10110740/products/16461900123a37b8a1b5.jpeg,kg,,0,,,,
,,chattan-clan-badge-tartan-blanket,,,,,,,,,,Premium Quilt,,Twin (75 x 85 inches / 190 x 216 cm),,Black,TSN318-TZB000318k,1800,,,deny,manual,69.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10110/10110740/products/16461900123a37b8a1b5.jpeg,kg,,0,,,,
,,chattan-clan-badge-tartan-blanket,,,,,,,,,,Premium Quilt,,Queen (80 x 90 inches / 203 x 228 cm),,Black,TSN318-TZB000318k,1800,,,deny,manual,74.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10110/10110740/products/16461900123a37b8a1b5.jpeg,kg,,0,,,,
,,chattan-clan-badge-tartan-blanket,,,,,,,,,,Premium Quilt,,King (91 x 102 inches / 231 x 259 cm),,Black,TSN318-TZB000318k,1800,,,deny,manual,84.99,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10110/10110740/products/16461900123a37b8a1b5.jpeg,kg,,0,,,,
1000000125878774',1000007963061597',kinnaird-clan-badge-tartan-blanket,Kinnaird Clan Badge Tartan Quilt,"<h1>Kinnaird Clan Badge Tartan Quilt</h1>
<p>All of our Quilts are custom-made-to-order and handcrafted to the highest quality standards.</p>
<ul>
        <li>Each quilt features a premium polyester print for beautiful color vibrancy, even after washing.</li>
        <li>Constructed from an ultra-soft polyester fabric with a hypo-allergenic cotton filling.</li>
        <li>The diamond stitched pattern gives a luxurious feel that is cozy and breathable, perfect for all year round use.</li>
        <li>These quilts are great for a picnic at the park, snuggling while watching TV, relaxing on the sofa, or as a stylish bedspread.</li>
        <li>Machine washable with cold water gentle cycle and mild detergent.</li>
</ul>",Scottish Lovers,PREMIUM QUILTS,"quilt,quilts,home set,tartan,sc-10110740-premium-quilts-771,scotland,scottish,Kinnaird,Clan Badge Tartan",TRUE,,,Style,Premium Quilt,Size,Lap Blanket (45 x 50 inches / 114 x 127 cm),Color,Black,TSN00147-TZB000147Q,1800,,,deny,manual,59.99,0,TRUE,TRUE,,https://img.btdmp.com/10110/10110740/products/origin/16461900151429479a70.jpeg,1,Kinnaird Clan Badge Tartan Quilt | Scottishlovers.com,,,,,,Kinnaird Clan Badge Tartan Quilt | Scottishlovers.com,"Buy Kinnaird Clan Badge Tartan Quilt and explore more of Apparel, Home Set in special custom design at Scottish Lovers for both Men & Women. Shipping worldwide",,,,,,,,,,https://img.btdmp.com/10110/10110740/products/origin/16461900151429479a70.jpeg,kg,,0,TRUE,TRUE,,
