Product Id,Variant Id,Handle,Title,Body (Html),Vendor,Type,Tags,Published,Custom Option,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Sku,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / Mpn,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,Seo Title,Seo Description,Google Shopping / Adwords Grouping,Google Shopping / Adwords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost Per Item,Available On Listing Pages,Available On Sitemap Files
1.00E+15,1.00E+15,product-limit-image-variant,Product limit image variant,,ShopBase,,"cotton,t-shirt,all-over-print,hollow out tank top,v-neck,kids,ladies,tank-top,long-sleeve,crewneck,sweatshirt",TRUE,[],Style,Unisex T-shirt,Color,White,Size,S,PH-AP-UnisexT-shirt-White-S-459061,0.32,,0,deny,manual,19.99,34.99,TRUE,FALSE,,https://stag-img.btdmp.com/10071/10071506/products/origin/1637051466843784f59d.png,1,,,,,,,,,,,,,,,,,,"https://stag-img.btdmp.com/10071/10071506/products/origin/16370514678372dc7c7a.png,https://stag-img.btdmp.com/10071/10071506/products/origin/16370514676ed67535d7.png,https://stag-img.btdmp.com/10071/10071506/products/origin/16370514668ed562f3c4.png,https://stag-img.btdmp.com/10071/10071506/products/origin/16370514665bf64153d2.png,https://stag-img.btdmp.com/10071/10071506/products/origin/1637051466843784f59d.png",lb,,0,,
1.00E+15,1.00E+15,product-limit-image-variant,,,,,,,,,Unisex T-shirt,,White,,M,PH-AP-UnisexT-shirt-White-M-293796,0.38,,0,deny,manual,19.99,34.99,TRUE,FALSE,,https://stag-img.btdmp.com/10071/10071506/products/origin/16370514678372dc7c7a.png,2,,,,,,,,,,,,,,,,,,"https://stag-img.btdmp.com/10071/10071506/products/origin/16370514678372dc7c7a.png,https://stag-img.btdmp.com/10071/10071506/products/origin/16370514676ed67535d7.png,https://stag-img.btdmp.com/10071/10071506/products/origin/16370514668ed562f3c4.png,https://stag-img.btdmp.com/10071/10071506/products/origin/16370514665bf64153d2.png,https://stag-img.btdmp.com/10071/10071506/products/origin/1637051466843784f59d.png",lb,,0,,
1.00E+15,1.00E+15,product-limit-image-variant,,,,,,,,,Unisex T-shirt,,White,,L,PH-AP-UnisexT-shirt-White-L-156706,0.44,,0,deny,manual,19.99,34.99,TRUE,FALSE,,https://stag-img.btdmp.com/10071/10071506/products/origin/16370514665bf64153d2.png,3,,,,,,,,,,,,,,,,,,"https://stag-img.btdmp.com/10071/10071506/products/origin/16370514678372dc7c7a.png,https://stag-img.btdmp.com/10071/10071506/products/origin/16370514676ed67535d7.png,https://stag-img.btdmp.com/10071/10071506/products/origin/16370514668ed562f3c4.png,https://stag-img.btdmp.com/10071/10071506/products/origin/16370514665bf64153d2.png,https://stag-img.btdmp.com/10071/10071506/products/origin/1637051466843784f59d.png",lb,,0,,
1.00E+15,1.00E+15,product-limit-image-variant,,,,,,,,,Unisex T-shirt,,White,,XL,PH-AP-UnisexT-shirt-White-XL-223846,0.48,,0,deny,manual,19.99,34.99,TRUE,FALSE,,https://stag-img.btdmp.com/10071/10071506/products/origin/16370514668ed562f3c4.png,4,,,,,,,,,,,,,,,,,,"https://stag-img.btdmp.com/10071/10071506/products/origin/16370514678372dc7c7a.png,https://stag-img.btdmp.com/10071/10071506/products/origin/16370514676ed67535d7.png,https://stag-img.btdmp.com/10071/10071506/products/origin/16370514668ed562f3c4.png,https://stag-img.btdmp.com/10071/10071506/products/origin/16370514665bf64153d2.png,https://stag-img.btdmp.com/10071/10071506/products/origin/1637051466843784f59d.png",lb,,0,,
1.00E+15,1.00E+15,product-limit-image-variant,,,,,,,,,Unisex T-shirt,,White,,2XL,PH-AP-UnisexT-shirt-White-2XL-541406,0.52,,0,deny,manual,22.29,37.29,TRUE,FALSE,,https://stag-img.btdmp.com/10071/10071506/products/origin/16370514676ed67535d7.png,5,,,,,,,,,,,,,,,,,,"https://stag-img.btdmp.com/10071/10071506/products/origin/16370514678372dc7c7a.png,https://stag-img.btdmp.com/10071/10071506/products/origin/16370514676ed67535d7.png,https://stag-img.btdmp.com/10071/10071506/products/origin/16370514668ed562f3c4.png,https://stag-img.btdmp.com/10071/10071506/products/origin/16370514665bf64153d2.png,https://stag-img.btdmp.com/10071/10071506/products/origin/1637051466843784f59d.png",lb,,0,,
1.00E+15,1.00E+15,product-limit-image-variant,,,,,,,,,Unisex T-shirt,,White,,3XL,PH-AP-UnisexT-shirt-White-3XL-854640,0.66,,0,deny,manual,23.29,38.29,TRUE,FALSE,,https://stag-img.btdmp.com/10071/10071506/products/origin/16370514677b5a3f3daa.png,6,,,,,,,,,,,,,,,,,,"https://stag-img.btdmp.com/10071/10071506/products/origin/16370514678372dc7c7a.png,https://stag-img.btdmp.com/10071/10071506/products/origin/16370514676ed67535d7.png,https://stag-img.btdmp.com/10071/10071506/products/origin/16370514668ed562f3c4.png,https://stag-img.btdmp.com/10071/10071506/products/origin/16370514665bf64153d2.png,https://stag-img.btdmp.com/10071/10071506/products/origin/1637051466843784f59d.png",lb,,0,,
1.00E+15,1.00E+15,product-limit-image-variant,,,,,,,,,Unisex T-shirt,,White,,4XL,PH-AP-UnisexT-shirt-White-4XL-346162,1,,0,deny,manual,24.29,39.29,TRUE,FALSE,,https://stag-img.btdmp.com/10071/10071506/products/origin/163705146747a9c3be07.png,7,,,,,,,,,,,,,,,,,,"https://stag-img.btdmp.com/10071/10071506/products/origin/16370514678372dc7c7a.png,https://stag-img.btdmp.com/10071/10071506/products/origin/16370514676ed67535d7.png,https://stag-img.btdmp.com/10071/10071506/products/origin/16370514668ed562f3c4.png,https://stag-img.btdmp.com/10071/10071506/products/origin/16370514665bf64153d2.png,https://stag-img.btdmp.com/10071/10071506/products/origin/1637051466843784f59d.png",lb,,0,,
1.00E+15,1.00E+15,product-limit-image-variant,,,,,,,,,Unisex T-shirt,,White,,5XL,PH-AP-UnisexT-shirt-White-5XL-310378,1,,0,deny,manual,25.29,40.29,TRUE,FALSE,,https://stag-img.btdmp.com/10071/10071506/products/origin/1637051467d3134880c8.png,8,,,,,,,,,,,,,,,,,,"https://stag-img.btdmp.com/10071/10071506/products/origin/16370514678372dc7c7a.png,https://stag-img.btdmp.com/10071/10071506/products/origin/16370514676ed67535d7.png,https://stag-img.btdmp.com/10071/10071506/products/origin/16370514668ed562f3c4.png,https://stag-img.btdmp.com/10071/10071506/products/origin/16370514665bf64153d2.png,https://stag-img.btdmp.com/10071/10071506/products/origin/1637051466843784f59d.png",lb,,0,,
1.00E+15,1.00E+15,product-limit-image-variant,,,,,,,,,Unisex T-shirt,,Black,,S,PH-AP-UnisexT-shirt-Black-S-309614,0.31,,0,deny,manual,19.99,34.99,TRUE,FALSE,,https://stag-img.btdmp.com/10071/10071506/products/origin/1637051467aa43361fa5.png,9,,,,,,,,,,,,,,,,,,"https://stag-img.btdmp.com/10071/10071506/products/origin/163705146747a9c3be07.png,https://stag-img.btdmp.com/10071/10071506/products/origin/1637051467aa43361fa5.png,https://stag-img.btdmp.com/10071/10071506/products/origin/1637051467b9535c0672.png,https://stag-img.btdmp.com/10071/10071506/products/origin/1637051467d3134880c8.png,https://stag-img.btdmp.com/10071/10071506/products/origin/16370514677b5a3f3daa.png",lb,,0,,
1.00E+15,1.00E+15,product-limit-image-variant,,,,,,,,,Unisex T-shirt,,Black,,M,PH-AP-UnisexT-shirt-Black-M-146709,0.31,,0,deny,manual,19.99,34.99,TRUE,FALSE,,https://stag-img.btdmp.com/10071/10071506/products/origin/1637051467b9535c0672.png,10,,,,,,,,,,,,,,,,,,"https://stag-img.btdmp.com/10071/10071506/products/origin/163705146747a9c3be07.png,https://stag-img.btdmp.com/10071/10071506/products/origin/1637051467aa43361fa5.png,https://stag-img.btdmp.com/10071/10071506/products/origin/1637051467b9535c0672.png,https://stag-img.btdmp.com/10071/10071506/products/origin/1637051467d3134880c8.png,https://stag-img.btdmp.com/10071/10071506/products/origin/16370514677b5a3f3daa.png",lb,,0,,
1.00E+15,1.00E+15,product-limit-image-variant,,,,,,,,,Unisex T-shirt,,Black,,L,PH-AP-UnisexT-shirt-Black-L-694912,0.38,,0,deny,manual,19.99,34.99,TRUE,FALSE,,https://stag-img.btdmp.com/10071/10071506/products/origin/1637051467394d631b71.png,11,,,,,,,,,,,,,,,,,,"https://stag-img.btdmp.com/10071/10071506/products/origin/163705146747a9c3be07.png,https://stag-img.btdmp.com/10071/10071506/products/origin/1637051467aa43361fa5.png,https://stag-img.btdmp.com/10071/10071506/products/origin/1637051467b9535c0672.png,https://stag-img.btdmp.com/10071/10071506/products/origin/1637051467d3134880c8.png,https://stag-img.btdmp.com/10071/10071506/products/origin/16370514677b5a3f3daa.png",lb,,0,,
1.00E+15,1.00E+15,product-limit-image-variant,,,,,,,,,Unisex T-shirt,,Black,,XL,PH-AP-UnisexT-shirt-Black-XL-042983,0.44,,0,deny,manual,19.99,34.99,TRUE,FALSE,,https://stag-img.btdmp.com/10071/10071506/products/origin/163705146785c4b5673a.png,12,,,,,,,,,,,,,,,,,,"https://stag-img.btdmp.com/10071/10071506/products/origin/163705146747a9c3be07.png,https://stag-img.btdmp.com/10071/10071506/products/origin/1637051467aa43361fa5.png,https://stag-img.btdmp.com/10071/10071506/products/origin/1637051467b9535c0672.png,https://stag-img.btdmp.com/10071/10071506/products/origin/1637051467d3134880c8.png,https://stag-img.btdmp.com/10071/10071506/products/origin/16370514677b5a3f3daa.png",lb,,0,,
1.00E+15,1.00E+15,product-limit-image-variant,,,,,,,,,Unisex T-shirt,,Black,,2XL,PH-AP-UnisexT-shirt-Black-2XL-001479,0.53,,0,deny,manual,22.79,37.79,TRUE,FALSE,,https://stag-img.btdmp.com/10071/10071506/products/origin/163705146771252d98c9.png,13,,,,,,,,,,,,,,,,,,"https://stag-img.btdmp.com/10071/10071506/products/origin/163705146747a9c3be07.png,https://stag-img.btdmp.com/10071/10071506/products/origin/1637051467aa43361fa5.png,https://stag-img.btdmp.com/10071/10071506/products/origin/1637051467b9535c0672.png,https://stag-img.btdmp.com/10071/10071506/products/origin/1637051467d3134880c8.png,https://stag-img.btdmp.com/10071/10071506/products/origin/16370514677b5a3f3daa.png",lb,,0,,
1.00E+15,1.00E+15,product-limit-image-variant,,,,,,,,,Unisex T-shirt,,Black,,3XL,PH-AP-UnisexT-shirt-Black-3XL-268128,0.66,,0,deny,manual,23.79,38.79,TRUE,FALSE,,https://stag-img.btdmp.com/10071/10071506/products/origin/1637051467b421c3a84b.png,14,,,,,,,,,,,,,,,,,,"https://stag-img.btdmp.com/10071/10071506/products/origin/163705146747a9c3be07.png,https://stag-img.btdmp.com/10071/10071506/products/origin/1637051467aa43361fa5.png,https://stag-img.btdmp.com/10071/10071506/products/origin/1637051467b9535c0672.png,https://stag-img.btdmp.com/10071/10071506/products/origin/1637051467d3134880c8.png,https://stag-img.btdmp.com/10071/10071506/products/origin/16370514677b5a3f3daa.png",lb,,0,,
1.00E+15,1.00E+15,product-limit-image-variant,,,,,,,,,Unisex T-shirt,,Black,,4XL,PH-AP-UnisexT-shirt-Black-4XL-873595,1,,0,deny,manual,24.79,39.79,TRUE,FALSE,,https://stag-img.btdmp.com/10071/10071506/products/origin/1637051467fd17e891a1.png,15,,,,,,,,,,,,,,,,,,"https://stag-img.btdmp.com/10071/10071506/products/origin/163705146747a9c3be07.png,https://stag-img.btdmp.com/10071/10071506/products/origin/1637051467aa43361fa5.png,https://stag-img.btdmp.com/10071/10071506/products/origin/1637051467b9535c0672.png,https://stag-img.btdmp.com/10071/10071506/products/origin/1637051467d3134880c8.png,https://stag-img.btdmp.com/10071/10071506/products/origin/16370514677b5a3f3daa.png",lb,,0,,
