Product Id,Variant Id,Handle,Title,Body (Html),Vendor,Type,Tags,Published,Option Fulfill Value,Custom Option,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Sku,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / Mpn,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,Seo Title,Seo Description,Google Shopping / Adwords Grouping,Google Shopping / Adwords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost Per Item,Available On Listing Pages,Available On Sitemap Files,Template
1000000386821028,1000009165961267,va-hg117,3D Print Full Blanket - Lion - Mom my wife,"<p><img src=""https://trello-attachments.s3.amazonaws.com/5d4e9dbdcc45e244e0a2ec2a/758x355/0bd55aa97ce853f5ee0a4c1f044f7ed5/image.png"" alt="""" width=""758"" height=""355"" /></p>

<p>MATERIAL: Each of our Quilts is made of Kona Cotton which is combed, premium quilting weight cotton fabric.</p>

<p>We also mix it with a small percentage of microfiber to bring the soft, smooth, beautiful-to-the-touch final quilt.</p>

<p>If you own a dog or a cat? Don&rsquo;t worry because it&rsquo;s so easy to keep the quilt clean.</p>

<p>IT&rsquo;S MACHINE WASHABLE: Machine Wash on gentle cycle with cold water, air dry recommended.</p>

<p>Do not use bleach</p>",DT,Blanket,"quiltt,son",TRUE,,,Size,Throw,,,,,VA-HG117,0,shopbase,999,deny,manual,59.99,0,true,TRUE,978020139323,https://img.btdmp.com/10342/10342602/products/origin/1656142884a9280c617c.jpeg,1,,,,,,,abc1362,abc1362,,,,,,,,,,https://img.btdmp.com/10342/10342602/products/16561428859adbed4226.jpeg,lb,,59.99,TRUE,TRUE,Default
1000000386821028,1000009165961268,va-hg117,,,,,,,,,,Twin,,,,,VA-HG117,0,shopbase,999,deny,manual,69.99,0,true,TRUE,978020139324,https://img.btdmp.com/10342/10342602/products/16561428859adbed4226.jpeg,2,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10342/10342602/products/16561428859adbed4226.jpeg,lb,,69.99,,,
1000000386821028,1000009165961269,va-hg117,,,,,,,,,,Queen,,,,,VA-HG117,0,shopbase,999,deny,manual,79.99,0,true,TRUE,978020139325,https://img.btdmp.com/10342/10342602/products/1656142885acbc73d780.jpeg,3,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10342/10342602/products/16561428859adbed4226.jpeg,lb,,79.99,,,
1000000386821028,1000009165961270,va-hg117,,,,,,,,,,King,,,,,VA-HG117,0,shopbase,999,deny,manual,84.99,0,true,TRUE,978020139326,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10342/10342602/products/16561428859adbed4226.jpeg,lb,,84.99,,,
1000000386821028,1000009165961271,va-hg117,,,,,,,,,,Super King 1,,,,,VA-HG117,0,shopbase,999,deny,manual,94.99,0,true,TRUE,978020139327,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10342/10342602/products/16561428859adbed4226.jpeg,lb,,94.99,,,
1000000386636432,1000009161642494,adler-8-light-chandelier-antiqued-gold,"Adler 8-Light Chandelier, Antiqued Gold",<p><br></p>,,,new arrivals,TRUE,,[],Title,Default Title,,,,,,0,,,continue,manual,710,0,true,TRUE,,https://img.btdmp.com/10342/10342602/products/origin/1656130038c07f9e88d2.png,1,,,,,,,,,,,,,,,,,,,lb,,0,TRUE,TRUE,Default
1000000386821034,1000009165961307,dt-bl151,Air Jordan 13 - Limited Edition - Alaska - U.S.A,"<p><span style=""color: #ed1c24;""><strong>If do not receiving confirmation email, please check in spam folder.</strong></span></p>

<p>&nbsp;</p>

<p><span style=""color: #ed1c24;""><strong>Tracking information will be available within 3-7 days</strong></span></p>

<p>&nbsp;</p>

<p><span style=""color: #ed1c24;""><strong>Should you need any tracking information, please do not hesitate to contact us?</strong></span></p>

<p>&nbsp;</p>

<p><span style=""color: #ed1c24;""><strong>Please do not open a dispute, we are available to assist you with any issues.</strong></span></p>

<p><strong>TO DETERMINE YOUR SHOE SIZE:</strong></p>

<p><span style=""font-weight: 400;"">- Prepare a pen, a ruler/tape measurer, and a white paper.</span></p>

<p><span style=""font-weight: 400;"">- </span><span style=""font-weight: 400;"">Use a ruler or tape measurer to measure your foot (from the heel to the tip of your longest toe).</span></p>

<p><span style=""font-weight: 400;"">- </span><span style=""font-weight: 400;"">Choose a size from the table below.</span></p>

<p><span style=""font-weight: 400;"">- </span><span style=""font-weight: 400;"">Find the closest measurement, in Heel to Toe(cm), that is equal to or greater than the length of your foot. For example, a man whose foot measures 27 cm is a U.S. 9, a CN 44.</span></p>

<p><strong>MEASURING TIPS:</strong></p>

<p><span style=""font-weight: 400;"">- </span><span style=""font-weight: 400;"">To ensure an accurate reading when measuring, flatten your foot by shifting your weight forward.</span></p>

<p><span style=""font-weight: 400;"">- </span><span style=""font-weight: 400;"">If your measurement is between two sizes, always move up to the larger size.</span></p>

<p><span style=""font-weight: 400;"">- </span><span style=""font-weight: 400;"">Be sure to measure both feet. Many people have feet of different sizes. Fit to the larger of the two.</span></p>

<ul>

<li><span style=""font-weight: 400;"">Fit yourself at a similar time as when you will be wearing the footwear. For daily footwear, fit yourself when you've been on your feet all day because your feet have expanded.</span></li>

</ul>

<p>&nbsp;</p>

<p><span style=""font-weight: 400;""><img src=""https://img.shopbase.com/files/10079139/2020/08/13/1597306298d7081fa401.png"" alt="""" width=""388"" height=""600"" /></span></p>",DT,JD13,"shoes,jd 13,track-id-1000000122182863,alaska,dtalaska",TRUE,,,Title,Default Title,,,,,DT-BL 152,0,,,continue,manual,92.98,0,true,TRUE,TRUE,https://img.btdmp.com/10342/10342602/products/origin/165614288520e7138490.jpeg,1,,,,,,,abc145,abc145,,,,,,,,,,,lb,,0,TRUE,TRUE,Default
1000000386821023,1000009165961245,dt-bl152,Air Jordan 13 - Limited Edition - Texas - U.S.A,"<p><span style=""color: #ed1c24;""><strong>If do not receiving confirmation email, please check in spam folder.</strong></span></p>

<p>&nbsp;</p>

<p><span style=""color: #ed1c24;""><strong>Tracking information will be available within 3-7 days</strong></span></p>

<p>&nbsp;</p>

<p><span style=""color: #ed1c24;""><strong>Should you need any tracking information, please do not hesitate to contact us?</strong></span></p>

<p>&nbsp;</p>

<p><span style=""color: #ed1c24;""><strong>Please do not open a dispute, we are available to assist you with any issues.</strong></span></p>

<p><strong>TO DETERMINE YOUR SHOE SIZE:</strong></p>

<p><span style=""font-weight: 400;"">- Prepare a pen, a ruler/tape measurer, and a white paper.</span></p>

<p><span style=""font-weight: 400;"">- </span><span style=""font-weight: 400;"">Use a ruler or tape measurer to measure your foot (from the heel to the tip of your longest toe).</span></p>

<p><span style=""font-weight: 400;"">- </span><span style=""font-weight: 400;"">Choose a size from the table below.</span></p>

<p><span style=""font-weight: 400;"">- </span><span style=""font-weight: 400;"">Find the closest measurement, in Heel to Toe(cm), that is equal to or greater than the length of your foot. For example, a man whose foot measures 27 cm is a U.S. 9, a CN 44.</span></p>

<p><strong>MEASURING TIPS:</strong></p>

<p><span style=""font-weight: 400;"">- </span><span style=""font-weight: 400;"">To ensure an accurate reading when measuring, flatten your foot by shifting your weight forward.</span></p>

<p><span style=""font-weight: 400;"">- </span><span style=""font-weight: 400;"">If your measurement is between two sizes, always move up to the larger size.</span></p>

<p><span style=""font-weight: 400;"">- </span><span style=""font-weight: 400;"">Be sure to measure both feet. Many people have feet of different sizes. Fit to the larger of the two.</span></p>

<ul>

<li><span style=""font-weight: 400;"">Fit yourself at a similar time as when you will be wearing the footwear. For daily footwear, fit yourself when you've been on your feet all day because your feet have expanded.</span></li>

</ul>

<p>&nbsp;</p>

<p><span style=""font-weight: 400;""><img src=""https://img.shopbase.com/files/10079139/2020/08/13/1597306298d7081fa401.png"" alt="""" width=""388"" height=""600"" /></span></p>",DT,JD13,"shoes,jd 13,track-id-1000000122182863,texas,dttexas",TRUE,,[],Style,Men's JD 13,Size,US 6 (EU39),,,DT-BL 152,0,,,continue,manual,92.95,0,true,TRUE,978020138125,https://img.btdmp.com/10342/10342602/products/origin/165614288568574ac9ca.jpeg,1,,,,,,,abc164,abc164,,,,,,,,,,,lb,,0,TRUE,TRUE,Default
1000000386821023,1000009165961246,dt-bl152,,,,,,,,,,Men's JD 13,,US 7 (EU 40),,,DT-BL 152,0,,,continue,manual,92.95,0,true,TRUE,978020138126,https://img.btdmp.com/10342/10342602/products/origin/1656142885bae5fe5be8.jpeg,2,,,,,,,,,,,,,,,,,,,lb,,0,,,
1000000386821023,1000009165961247,dt-bl152,,,,,,,,,,Men's JD 13,,US 8 ( EU41,,,DT-BL 152,0,,,continue,manual,92.95,0,true,TRUE,978020138127,,,,,,,,,,,,,,,,,,,,,lb,,0,,,
