Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / Mpn,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,Seo Title,Seo Description,Google Shopping / Adwords Grouping,Google Shopping / Adwords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item
2da0153,SB_PRO_BUD_428 Arizona Cardinals 2DA0153,"<p><strong>Material:</strong> Cotton, Polyester and Heather</p>
<ul>
<li>Plastic buttons on left side, decal printed patterns</li>
<li>No leather material for arms</li>
<li>Snap closure</li>
<li>Contrast sleeves</li>
<li>Knitted collar, cuffs and waistband with stripe details</li>
<li>Press-stud closure</li>
<li>Contrast studs</li>
<li>Welt contrast pockets</li>
<li>Hand washing and machine washable</li>
</ul>",,Arizona Cardinals,"Arizona Cardinals,sc-10056164-varsity-jacket-556",TRUE,Products,Varsity Jacket-Black,Size,S,,,2DA0153-Varsity Jacket-Black-S,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Black.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Black,,M,,,2DA0153-Varsity Jacket-Black-M,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Black.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Black,,L,,,2DA0153-Varsity Jacket-Black-L,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Black.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Black,,XL,,,2DA0153-Varsity Jacket-Black-XL,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Black.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Black,,2XL,,,2DA0153-Varsity Jacket-Black-2XL,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Black.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Black,,3XL,,,2DA0153-Varsity Jacket-Black-3XL,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Black.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Black,,4XL,,,2DA0153-Varsity Jacket-Black-4XL,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Black.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Black,,5XL,,,2DA0153-Varsity Jacket-Black-5XL,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Black.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Black,,6XL,,,2DA0153-Varsity Jacket-Black-6XL,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Black.jpg,kg,,
2da0153,,,,,,,,Varsity Jacket-Grey,,S,,,2DA0153-Varsity Jacket-Grey-S,0,,0,continue,manual,55.95,0,TRUE,TRUE,,,,,,,,,,,,,,,,,,,,,http://forfanstore.company/2DA0153-Varsity%20Jacket-Grey.jpg,kg,,
