Handle,Title,Body (Html),Vendor,Type,Tags,Published,Custom Option,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant Sku,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Google Shopping / Mpn,Google Shopping / Age Group,Google Shopping / Gender,Google Shopping / Google Product Category,Seo Title,Seo Description,Google Shopping / Adwords Grouping,Google Shopping / Adwords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code,Cost Per Item,Available On Listing Pages,Available On Sitemap Files,Option Fulfill Value,Template
SB_PRO_BUD_434,SB_PRO_BUD_434,"<p><img style=""display: block; margin-left: auto; margin-right: auto;"" src=""https://img.shopbase.com/files/10069247/2021/02/26/1614338621bf4e7e3ebe.png"" alt="""" width=""578"" height=""377"" /></p>
<p><img src=""https://img.shopbase.com/files/10069247/2021/02/26/161433889746a8bce305.png"" alt="""" width=""576"" height=""376"" /></p>
<p><img src=""https://img.shopbase.com/files/10069247/2021/02/26/16143389363039501bb0.png"" alt="""" width=""577"" height=""428"" /></p>
<ul>
<li>Polyester 94%, Spandex 6%, super soft.</li>
<li>Features pronounced sleeve cuffs, prominent waistband hem and kangaroo pocket fringes.</li>
<li>Taped neck and shoulders for comfort and style.</li>
<li>Machine wash: cold (max 30℃ or 86℉); Non-chlorine; Iron on low heat; Do not insolation.</li>
<li>All items are subject to a handling period before they are dispatched.</li>
<li>99% of orders leave the warehouse within 5 - 7 business days of payment.</li>
<li>We will notify to you by email when your items have been shipped.</li>
<li><strong>Gender</strong>: Unisex</li>
<li><strong>Material:&nbsp;</strong>Spandex and Polyester</li>
</ul><p>Tags: police officer shirt, police officer, gift for police officer fans, gift for police officer lovers, gift for police officer shirt fans, gift for police officer shirt lovers</p>",,,"police officer shirt,police officer",TRUE,[],TYPE,Normal Hoodie,SIZE,S (US Size),,,220405-DACL-401-DA-LMS-S,0,,0,continue,manual,49.99,64.99,FALSE,FALSE,,https://img.btdmp.com/10049/10049974/products/0x360@1648835723f84aaf318e.jpeg,1,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10049/10049974/products/0x360@1648835723f84aaf318e.jpeg,g,,0,TRUE,TRUE,,
SB_PRO_BUD_434,,,,,,,,,Normal Hoodie,,M (US Size),,,220405-DACL-401-DA-LMS-M,0,,0,continue,manual,49.99,64.99,FALSE,FALSE,,https://img.btdmp.com/10049/10049974/products/0x360@164883572281db983b0f.jpeg,2,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10049/10049974/products/0x360@1648835723f84aaf318e.jpeg,g,,0,,,,
SB_PRO_BUD_434,,,,,,,,,Normal Hoodie,,L (US Size),,,220405-DACL-401-DA-LMS-L,0,,0,continue,manual,49.99,64.99,FALSE,FALSE,,https://img.btdmp.com/10049/10049974/products/0x360@1648835723ad9921eebb.jpeg,3,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10049/10049974/products/0x360@1648835723f84aaf318e.jpeg,g,,0,,,,
SB_PRO_BUD_434,,,,,,,,,Normal Hoodie,,XL (US Size),,,220405-DACL-401-DA-LMS-XL,0,,0,continue,manual,49.99,64.99,FALSE,FALSE,,https://img.btdmp.com/10049/10049974/products/0x360@16488357220f7ccb937d.jpeg,4,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10049/10049974/products/0x360@1648835723f84aaf318e.jpeg,g,,0,,,,
SB_PRO_BUD_434,,,,,,,,,Normal Hoodie,,XXL (US Size),,,220405-DACL-401-DA-LMS-XXL,0,,0,continue,manual,49.99,64.99,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10049/10049974/products/0x360@1648835723f84aaf318e.jpeg,g,,0,,,,
SB_PRO_BUD_434,,,,,,,,,Normal Hoodie,,3XL (US Size),,,220405-DACL-401-DA-LMS-3XL,0,,0,continue,manual,49.99,64.99,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10049/10049974/products/0x360@1648835723f84aaf318e.jpeg,g,,0,,,,
SB_PRO_BUD_434,,,,,,,,,Normal Hoodie,,4XL (US Size),,,220405-DACL-401-DA-LMS-4XL,0,,0,continue,manual,49.99,64.99,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10049/10049974/products/0x360@1648835723f84aaf318e.jpeg,g,,0,,,,
SB_PRO_BUD_434,,,,,,,,,Normal Hoodie,,5XL (US Size),,,220405-DACL-401-DA-LMS-5XL,0,,0,continue,manual,49.99,64.99,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10049/10049974/products/0x360@1648835723f84aaf318e.jpeg,g,,0,,,,
SB_PRO_BUD_434,,,,,,,,,Long Sleeve,,S (US Size),,,220405-DACL-401-DA-WY-S,0,,0,continue,manual,41.99,54.99,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10049/10049974/products/0x360@164883572281db983b0f.jpeg,g,,0,,,,
SB_PRO_BUD_434,,,,,,,,,Long Sleeve,,M (US Size),,,220405-DACL-401-DA-WY-M,0,,0,continue,manual,41.99,54.99,FALSE,FALSE,,,,,,,,,,,,,,,,,,,,,https://img.btdmp.com/10049/10049974/products/0x360@164883572281db983b0f.jpeg,g,,0,,,,
